sentence,metaphorical_subsets,model_output
That's an idea that ought to be resurrected.,['resurrected'],"- That's: NO (pronoun, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- that: NO (pronoun, basic meaning is the same)
- ought: NO (modal verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- be: NO (verb, basic meaning is the same)
- resurrected: YES (verb, more basic meaning refers to bringing back to life)"
Where'd you dig up that idea?,['dig up'],"- Where'd: NO (contraction of ""where did,"" basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- dig: YES (verb, more basic meaning refers to breaking up or moving earth)
- up: NO (adverb, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)"
He breathed new life into that idea.,['breathed new life'],"- He: NO (pronoun, basic meaning is the same)
- breathed: YES (verb, more basic meaning refers to inhaling and exhaling air)
- new: NO (adjective, basic meaning is the same)
- life: NO (noun, basic meaning is the same)
- into: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)"
His ideas have finally come to fruition.,['fruition'],"- His: NO (possessive pronoun, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- finally: NO (adverb, basic meaning is the same)
- come: YES (verb, more basic meaning refers to moving toward or arriving at a place)
- to: NO (preposition, basic meaning is the same)
- fruition: YES (noun, more basic meaning refers to the point at which a plan or project is realized)"
That idea died on the vine.,['died on the vine'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- died: YES (verb, more basic meaning refers to the cessation of life in living organisms)
- on: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- vine: YES (noun, more basic meaning refers to a climbing or trailing plant)"
That's a budding theory.,['budding'],"- That's: NO (pronoun, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- budding: YES (adjective, more basic meaning refers to a plant starting to grow)
- theory: NO (noun, basic meaning is the same)"
It will take years for that idea to come to full flower.,['come to full flower'],"- It: NO (pronoun, basic meaning is the same)
- will: NO (verb, basic meaning is the same)
- take: YES (verb, more basic meaning refers to physically grabbing or holding something)
- years: NO (noun, basic meaning is the same)
- for: NO (preposition, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- come: YES (verb, more basic meaning refers to physically moving towards a place)
- full: NO (adjective, basic meaning is the same)
- flower: YES (noun, more basic meaning refers to the reproductive structure found in plants)"
He views chemistry as a mere offshoot of physics.,['offshoot'],"- He: NO (pronoun, basic meaning is the same)
- views: NO (verb, basic meaning is the same)
- chemistry: NO (noun, basic meaning is the same)
- as: NO (conjunction, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- mere: YES (adjective, more basic meaning refers to being small or insignificant)
- offshoot: YES (noun, more basic meaning refers to a side branch or shoot of a plant)
- of: NO (preposition, basic meaning is the same)
- physics: NO (noun, basic meaning is the same)"
Mathematics has many branches.,['branches'],"- Mathematics: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- many: NO (adjective, basic meaning is the same)
- branches: YES (noun, more basic meaning refers to parts of a tree)"
The seeds of his great ideas were planted in his youth.,"['seeds', 'planted']","- The: NO (article, basic meaning is the same)
- seeds: YES (noun, more basic meaning refers to the small, hard-shelled plant structures)
- of: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- great: NO (adjective, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)
- were: NO (verb, basic meaning is the same)
- planted: YES (verb, more basic meaning refers to placing seeds in the ground)
- in: NO (preposition, basic meaning is the same)
- his: NO (possessive pronoun, basic meaning is the same)
- youth: YES (noun, more basic meaning refers to the time of life when one is young)"
She has a fertile imagination.,['fertile'],"- She: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- fertile: YES (adjective, more basic meaning refers to the ability to produce crops)
- imagination: NO (noun, basic meaning is the same)"
Here's an idea that I'd like to plant in your mind.,['plant'],"- Here's: NO (adverb, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- that: NO (conjunction, basic meaning is the same)
- I'd: NO (contraction, basic meaning is the same)
- like: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- plant: YES (verb, more basic meaning refers to placing a seed in the ground)
- in: NO (preposition, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- mind: NO (noun, basic meaning is the same)"
He has a barren mind.,['barren'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- barren: YES (adjective, more basic meaning refers to land that is unable to produce crops)
- mind: NO (noun, basic meaning is the same)"
We're really turning out new ideas.,['turning out'],"- We're: NO (contraction of ""we are,"" basic meaning is the same)
- really: NO (adverb, basic meaning is the same)
- turning out: YES (phrasal verb, more basic meaning refers to producing or manufacturing)
- new: NO (adjective, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
We've generated a lot of ideas this week.,['generated'],"- We've: NO (contraction, basic meaning is the same)
- generated: YES (verb, more basic meaning refers to producing or creating something)
- a: NO (article, basic meaning is the same)
- lot: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
He produces new ideas at an astounding rate.,['produces'],"- He: NO (pronoun, basic meaning is the same)
- produces: YES (verb, more basic meaning refers to manufacturing or creating physical objects)
- new: NO (adjective, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)
- at: NO (preposition, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- astounding: NO (adjective, basic meaning is the same)
- rate: NO (noun, basic meaning is the same)"
His intellectual productivity has decreased recent years.,['intellectual productivity'],"- His: NO (possessive pronoun, basic meaning is the same)
- intellectual: NO (adjective, basic meaning is the same)
- productivity: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- decreased: YES (verb, more basic meaning refers to becoming smaller or fewer)
- recent: NO (adjective, basic meaning is the same)
- years: NO (noun, basic meaning is the same)"
"We need to take the rough edges off that idea, hone it down, smooth it out.","['take the rough edges off', 'hone it down', 'smooth it out']","- We: NO (pronoun, basic meaning is the same)
- need: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- take: YES (verb, more basic meaning refers to physically removing something from one place to another)
- the: NO (definite article, basic meaning is the same)
- rough: YES (adjective, more basic meaning refers to a surface that is uneven or not smooth)
- edges: YES (noun, more basic meaning refers to the border or boundary of an object)
- off: NO (adverb, basic meaning is the same)
- that: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- hone: YES (verb, more basic meaning refers to sharpening or perfecting something)
- it: NO (pronoun, basic meaning is the same)
- down: NO (adverb, basic meaning is the same)
- smooth: YES (verb, more basic meaning refers to making something flat or even)
- out: NO (adverb, basic meaning is the same)"
It's a rough idea; it needs to be refined.,['refined'],"- It's: NO (contraction, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- rough: YES (adjective, more basic meaning refers to a surface that is uneven or not smooth)
- idea: NO (noun, basic meaning is the same)
- it: NO (pronoun, basic meaning is the same)
- needs: NO (verb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- be: NO (verb, basic meaning is the same)
- refined: YES (adjective, more basic meaning refers to something elegant or cultured)"
It's important how you package our ideas.,['package'],"- It's: NO (contraction, basic meaning is the same)
- important: NO (adjective, basic meaning is the same)
- how: NO (adverb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- package: YES (verb, more basic meaning refers to wrapping or enclosing something)
- our: NO (possessive pronoun, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
He won't buy that.,['buy'],"- He: NO (pronoun, basic meaning is the same)
- won't: NO (contraction of ""will not,"" basic meaning is the same)
- buy: NO (verb, basic meaning is the same)
- that: NO (pronoun, basic meaning is the same)"
That idea just won't sell.,['sell'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- just: NO (adverb, basic meaning is the same)
- won't: NO (contraction of ""will not,"" basic meaning is the same)
- sell: YES (verb, more basic meaning refers to exchanging goods for money)"
There is always a market for good ideas.,['market'],"- There: NO (adverb, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- always: NO (adverb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- market: YES (noun, more basic meaning refers to a physical marketplace) 
- for: NO (preposition, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
That's a worthless idea.,['worthless'],"- That's: NO (pronoun, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- worthless: YES (adjective, more basic meaning refers to lacking financial value)
- idea: NO (noun, basic meaning is the same)"
He's been a source of valuable ideas.,['valuable'],"- He's: NO (pronoun, basic meaning is the same)
- been: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- source: YES (noun, more basic meaning refers to a spring or fountain)
- of: NO (preposition, basic meaning is the same)
- valuable: YES (adjective, more basic meaning refers to something of great worth)
- ideas: NO (noun, basic meaning is the same)"
I wouldn't give a plugged nickel for that idea.,['give a plugged nickel'],"- I: NO
- wouldn't: NO
- give: NO
- a: NO
- plugged: YES (adjective, more basic meaning refers to something being fitted with a plug or stopper)
- nickel: YES (noun, more basic meaning refers to a five-cent coin)
- for: NO
- that: NO
- idea: NO"
Your ideas don't have change in the intellectual marketplace.,['intellectual marketplace'],"- Your: NO (possessive determiner, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)
- don't: NO (contraction of do not, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- change: YES (noun, more basic meaning refers to the act or result of making or becoming different)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- intellectual: NO (adjective, basic meaning is the same)
- marketplace: YES (noun, more basic meaning refers to a physical location where goods are bought and sold)"
He ran out of ideas.,['ran out of'],"- He: NO (pronoun, basic meaning is the same)
- ran: YES (verb, more basic meaning refers to moving quickly on foot)
- out: YES (adverb, more basic meaning refers to moving away from a place)
- of: NO (preposition, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
Don't waste your thoughts on small projects.,['waste'],"- Don't: NO (verb, basic meaning is the same)
- waste: YES (verb, more basic meaning refers to using something carelessly or extravagantly)
- your: NO (possessive pronoun, basic meaning is the same)
- thoughts: YES (noun, more basic meaning refers to the process of thinking)
- on: NO (preposition, basic meaning is the same)
- small: YES (adjective, more basic meaning refers to size or scale)
- projects: NO (noun, basic meaning is the same)"
Let's pool our ideas.,['pool'],"- Let's: NO (contraction of ""let us,"" basic meaning is the same)
- pool: YES (verb, more basic meaning refers to combining resources or money)
- our: NO (possessive pronoun, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
He's a resourceful man.,['resourceful'],"- He's: NO (pronoun, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- resourceful: NO (adjective, basic meaning is the same)
- man: NO (noun, basic meaning is the same)"
We've used up all our ideas.,['used up'],"- We've: NO (contraction, basic meaning is the same)
- used: YES (verb, more basic meaning refers to employing something)
- up: NO (adverb/preposition, basic meaning is the same)
- all: NO (determiner, basic meaning is the same)
- our: NO (possessive pronoun, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
That's a useless idea.,['useless'],"- That's: NO (pronoun, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- useless: YES (adjective, more basic meaning refers to lacking use or purpose)
- idea: NO (noun, basic meaning is the same)"
That idea will go a long way.,['go a long way'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- will: NO (auxiliary verb, basic meaning is the same)
- go: YES (verb, more basic meaning refers to physical movement)
- a: NO (indefinite article, basic meaning is the same)
- long: NO (adjective, basic meaning is the same)
- way: YES (noun, more basic meaning refers to a route or path)"
Let me put in my two cents' worth.,"[""two cents' worth""]","- Let: NO (verb, basic meaning is the same)
- me: NO (pronoun, basic meaning is the same)
- put: YES (verb, more basic meaning refers to placing something in a specific location)
- in: NO (preposition, basic meaning is the same)
- my: NO (possessive pronoun, basic meaning is the same)
- two: NO (adjective, basic meaning is the same)
- cents: YES (noun, more basic meaning refers to a unit of currency)
- worth: NO (noun, basic meaning is the same)"
He's rich in ideas.,['rich'],"- He's: NO (pronoun, basic meaning is the same)
- rich: YES (adjective, more basic meaning refers to having a lot of money or resources)
- in: NO (preposition, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
That book is a treasure trove of ideas.,['treasure trove'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- book: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- treasure trove: YES (noun phrase, more basic meaning refers to a store of valuable or precious items)
- of: NO (preposition, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
He has a wealth of ideas.,['wealth'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- wealth: YES (noun, more basic meaning refers to abundance of money or valuable possessions)
- of: NO (preposition, basic meaning is the same)
- ideas: NO (noun, basic meaning is the same)"
That's an incisive idea.,['incisive'],"- That's: NO (demonstrative pronoun, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- incisive: YES (adjective, more basic meaning refers to cutting or sharp)
- idea: NO (noun, basic meaning is the same)"
That cuts right to the heart of the matter.,['cuts right to the heart of'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- cuts: YES (verb, more basic meaning refers to physically dividing or penetrating)
- right: NO (adverb, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- heart: YES (noun, more basic meaning refers to the organ in the body) 
- of: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- matter: NO (noun, basic meaning is the same)"
That was a cutting remark.,['cutting'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- cutting: YES (adjective, more basic meaning refers to physically severing or dividing)
- remark: NO (noun, basic meaning is the same)"
He's sharp.,['sharp'],"- He's: NO (pronoun, basic meaning is the same)
- sharp: NO (adjective, basic meaning is the same)"
He has a razor wit.,['razor'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- razor: YES (noun, more basic meaning refers to a sharp cutting tool)
- wit: NO (noun, basic meaning is the same)"
He has a keen mind.,['keen'],"- He: NO (pronoun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- keen: YES (adjective, more basic meaning refers to sharpness or intensity of a physical sensation)
- mind: NO (noun, basic meaning is the same)"
She cut his argument to ribbons.,"['cut', 'to ribbons']","- She: NO (pronoun, basic meaning is the same)
- cut: YES (verb, more basic meaning refers to physically dividing or severing something)
- his: NO (possessive pronoun, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- ribbons: YES (noun, more basic meaning refers to thin strips of material)"
That idea went out of style years ago.,['out of style'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- went: NO (verb, basic meaning is the same)
- out: YES (adverb, more basic meaning refers to a direction away from something)
- of: NO (preposition, basic meaning is the same)
- style: YES (noun, more basic meaning refers to a distinctive appearance or fashion)"
I hear sociobiology is in these days.,['is in'],"- I: NO
- hear: YES (verb, more basic meaning refers to perceiving sound with the ears)
- sociobiology: NO
- is: NO
- in: NO
- these: NO
- days: NO"
Marxism is currently fashionable in western Europe.,['fashionable'],"- Marxism: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- currently: NO (adverb, basic meaning is the same)
- fashionable: YES (adjective, more basic meaning refers to something being stylish or trendy)
- in: NO (preposition, basic meaning is the same)
- western: NO (adjective, basic meaning is the same)
- Europe: NO (noun, basic meaning is the same)"
That idea is old hat!,['old hat'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- old hat: YES (idiomatic expression, more basic meaning refers to a worn-out or outdated item of clothing)"
That's an outdated idea.,['outdated'],"- That's: NO (pronoun, basic meaning is the same)
- an: NO (article, basic meaning is the same)
- outdated: NO (adjective, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)"
What are the new trends in English criticism?,['trends'],"- What: NO (pronoun, basic meaning is the same)
- are: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- new: NO (adjective, basic meaning is the same)
- trends: YES (noun, more basic meaning refers to a general direction in which something is developing or changing)
- in: NO (preposition, basic meaning is the same)
- English: NO (adjective, basic meaning is the same)
- criticism: NO (noun, basic meaning is the same)"
Old-fashioned notions have no place in today's society.,['Old-fashioned'],"- Old-fashioned: YES (adjective, more basic meaning refers to something being outdated or not in style)
- notions: NO (noun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- no: NO (adverb, basic meaning is the same)
- place: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- today's: NO (adjective, basic meaning is the same)
- society: NO (noun, basic meaning is the same)"
He keeps up-to-date by reading the New York Review of Books.,['up-to-date'],"- He: NO (pronoun, basic meaning is the same)
- keeps: NO (verb, basic meaning is the same)
- up-to-date: YES (adjective phrase, more basic meaning refers to being current or modern)
- by: NO (preposition, basic meaning is the same)
- reading: NO (verb, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- New York Review of Books: NO (proper noun, basic meaning is the same)"
Berkeley is a center of avant-garde thought.,['avant-garde'],"- Berkeley: NO (proper noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- center: YES (noun, more basic meaning refers to the middle of something)
- of: NO (preposition, basic meaning is the same)
- avant-garde: YES (adjective, more basic meaning refers to being innovative or experimental)
- thought: NO (noun, basic meaning is the same)"
Semiotics has become quite chic.,['chic'],"- Semiotics: NO (noun, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- become: NO (verb, basic meaning is the same)
- quite: NO (adverb, basic meaning is the same)
- chic: NO (adjective, basic meaning is the same)"
The idea of revolution is no longer in vogue in the United States.,['in vogue'],"- The: NO (definite article, basic meaning is the same)
- idea: NO (noun, basic meaning is the same)
- of: NO (preposition, basic meaning is the same)
- revolution: YES (noun, more basic meaning refers to a circular motion or a complete turn)
- is: NO (verb, basic meaning is the same)
- no: NO (adverb, basic meaning is the same)
- longer: NO (adverb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- vogue: YES (noun, more basic meaning refers to a popular trend or fashion)"
The transformational grammar craze hit the United States in the mid-sixties and has just made it to Europe.,['craze'],"- The: NO (definite article, basic meaning is the same)
- transformational: YES (adjective, more basic meaning refers to a change or conversion)
- grammar: NO (noun, basic meaning is the same)
- craze: YES (noun, more basic meaning refers to an intense enthusiasm or fad)
- hit: YES (verb, more basic meaning refers to striking with force)
- the: NO (definite article, basic meaning is the same)
- United: YES (adjective, more basic meaning refers to being joined together)
- States: YES (noun, more basic meaning refers to a condition of being stationary)
- in: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- mid-sixties: YES (noun, more basic meaning refers to the middle years of the 1960s)
- and: NO (conjunction, basic meaning is the same)
- has: NO (verb, basic meaning is the same)
- just: NO (adverb, basic meaning is the same)
- made: YES (verb, more basic meaning refers to creating or constructing)
- it: NO (pronoun, basic meaning is the same)
- to: NO (preposition, basic meaning is the same)
- Europe: YES (noun, more basic meaning refers to the continent)"
I see what you're saying.,['see'],"- I: NO (pronoun, basic meaning is the same)
- see: NO (verb, basic meaning is the same)
- what: NO (pronoun, basic meaning is the same)
- you're: NO (contraction of ""you are,"" basic meaning is the same)
- saying: NO (verb, basic meaning is the same)"
What is your outlook on that?,['outlook'],"- What: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- your: NO (possessive pronoun, basic meaning is the same)
- outlook: YES (noun, more basic meaning refers to a physical view from a particular place)
- on: NO (preposition, basic meaning is the same)
- that: NO (pronoun, basic meaning is the same)"
I view it differently.,['view'],"- I: NO (pronoun, basic meaning is the same)
- view: YES (verb, more basic meaning refers to seeing something with the eyes)
- it: NO (pronoun, basic meaning is the same)
- differently: NO (adverb, basic meaning is the same)"
Now I've got the whole picture.,['whole picture'],"- Now: NO (adverb, basic meaning is the same)
- I: NO (pronoun, basic meaning is the same)
- got: YES (verb, more basic meaning refers to obtaining or receiving)
- the: NO (definite article, basic meaning is the same)
- whole: NO (adjective, basic meaning is the same)
- picture: NO (noun, basic meaning is the same)"
That's an insightful idea.,['insightful'],"- That's: NO (demonstrative pronoun, basic meaning is the same)
- an: NO (indefinite article, basic meaning is the same)
- insightful: YES (adjective, more basic meaning refers to having or showing insight or understanding)
- idea: NO (noun, basic meaning is the same)"
That was a brilliant remark.,['brilliant'],"- That: NO (demonstrative pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- a: NO (indefinite article, basic meaning is the same)
- brilliant: YES (adjective, more basic meaning refers to shining brightly)
- remark: NO (noun, basic meaning is the same)"
The argument is clear.,['clear'],"- The: NO (article, basic meaning is the same)
- argument: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- clear: NO"
It was a murky discussion.,['murky'],"- It: NO (pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- murky: YES (adjective, more basic meaning refers to something dark, gloomy, or foggy)
- discussion: NO (noun, basic meaning is the same)"
Could you elucidate your remarks?,['elucidate'],"- Could: NO (modal verb, basic meaning is the same)
- you: NO (pronoun, basic meaning is the same)
- elucidate: YES (verb, more basic meaning refers to making something clear or explaining)
- your: NO (possessive pronoun, basic meaning is the same)
- remarks: NO (noun, basic meaning is the same)"
It's a transparent argument.,['transparent'],"- It's: NO (contraction, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- transparent: YES (adjective, more basic meaning refers to something see-through or clear)
- argument: NO (noun, basic meaning is the same)"
The discussion was opaque.,['opaque'],"- The: NO (article, basic meaning is the same)
- discussion: NO (noun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- opaque: YES (adjective, more basic meaning refers to something that is not transparent or translucent)"
I could feel the electricity between us.,['electricity'],"- I: NO (pronoun, basic meaning is the same)
- could: NO (verb, basic meaning is the same)
- feel: NO (verb, basic meaning is the same)
- the: NO (article, basic meaning is the same)
- electricity: YES (noun, more basic meaning refers to the flow of electric charge)
- between: NO (preposition, basic meaning is the same)
- us: NO (pronoun, basic meaning is the same)"
I was magnetically drawn to her.,['magnetically drawn'],"- I: NO (pronoun, basic meaning is the same)
- was: NO (verb, basic meaning is the same)
- magnetically: YES (adverb, more basic meaning refers to the properties of magnets)
- drawn: YES (verb, more basic meaning refers to pulling or attracting something)
- to: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)"
They are uncontrollably attracted to each other.,['attracted'],"- They: NO (pronoun, basic meaning is the same)
- are: NO (verb ""to be,"" basic meaning is the same)
- uncontrollably: YES (adverb, more basic meaning refers to lacking control or restraint)
- attracted: YES (verb, more basic meaning refers to being drawn to something)
- to: NO (preposition, basic meaning is the same)
- each: NO (determiner, basic meaning is the same)
- other: NO (adjective, basic meaning is the same)"
They gravitated to each other immediately.,['gravitated'],"- They: NO (pronoun, basic meaning is the same)
- gravitated: YES (verb, more basic meaning refers to the physical force of attraction between objects with mass)
- to: NO (preposition, basic meaning is the same)
- each: NO (determiner, basic meaning is the same)
- other: NO (adjective, basic meaning is the same)
- immediately: NO (adverb, basic meaning is the same)"
His whole life revolves around her.,['revolves'],"- His: NO (possessive pronoun, basic meaning is the same)
- whole: NO (adjective, basic meaning is the same)
- life: NO (noun, basic meaning is the same)
- revolves: YES (verb, more basic meaning refers to rotating around an axis)
- around: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)"
The atmosphere around them is always charged.,"['atmosphere', 'charged']","- The: NO (definite article, basic meaning is the same)
- atmosphere: NO (noun, basic meaning is the same)
- around: NO (preposition, basic meaning is the same)
- them: NO (pronoun, basic meaning is the same)
- is: NO (verb ""to be,"" basic meaning is the same)
- always: NO (adverb, basic meaning is the same)
- charged: YES (adjective, more basic meaning refers to having an electrical charge)"
There is incredible energy in their relationship.,['energy'],"- There: NO (adverb, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- incredible: YES (adjective, more basic meaning refers to something that is hard to believe)
- energy: NO (noun, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- their: NO (possessive pronoun, basic meaning is the same)
- relationship: NO (noun, basic meaning is the same)"
This is a sick relationship.,['sick'],"- This: NO (pronoun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- sick: YES (adjective, more basic meaning refers to physical illness)
- relationship: NO (noun, basic meaning is the same)"
"They have a strong, healthy marriage.","['strong, healthy']","- They: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- strong: YES (adjective, more basic meaning refers to physical strength)
- healthy: YES (adjective, more basic meaning refers to physical health)
- marriage: NO (noun, basic meaning is the same)"
The marriage is dead – it can't be revived.,"['dead', 'revived']","- The: NO (definite article, basic meaning is the same)
- marriage: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- dead: YES (adjective, more basic meaning refers to no longer being alive)
- it: NO (pronoun, basic meaning is the same)
- can't: NO (contraction, basic meaning is the same)
- be: NO (verb, basic meaning is the same)
- revived: YES (verb, more basic meaning refers to bringing something back to life)"
Their marriage is on the mend.,['on the mend'],"- Their: NO (possessive pronoun, basic meaning is the same)
- marriage: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- the: NO (definite article, basic meaning is the same)
- mend: YES (verb, more basic meaning refers to repairing clothes or items)"
Their relationship is in really good shape.,['in really good shape'],"- Their: NO (possessive pronoun, basic meaning is the same)
- relationship: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- in: NO (preposition, basic meaning is the same)
- really: NO (adverb, basic meaning is the same)
- good: NO (adjective, basic meaning is the same)
- shape: YES (noun, more basic meaning refers to the form or outline of an object)"
They've got a listless marriage.,['listless'],"- They: NO (pronoun, basic meaning is the same)
- have: NO (verb, basic meaning is the same)
- got: YES (verb, more basic meaning refers to obtaining or acquiring)
- a: NO (article, basic meaning is the same)
- listless: YES (adjective, more basic meaning refers to lacking energy or enthusiasm)
- marriage: NO (noun, basic meaning is the same)"
Their marriage is on its last legs.,['on its last legs'],"- Their: NO (possessive pronoun, basic meaning is the same)
- marriage: NO (noun, basic meaning is the same)
- is: NO (verb, basic meaning is the same)
- on: NO (preposition, basic meaning is the same)
- its: NO (possessive pronoun, basic meaning is the same)
- last: YES (adjective, more basic meaning refers to final or ultimate)
- legs: YES (noun, more basic meaning refers to the limbs of a person or animal)"
It's a tired affair.,['tired'],"- It's: NO (pronoun, basic meaning is the same)
- a: NO (article, basic meaning is the same)
- tired: YES (adjective, more basic meaning refers to feeling exhausted)
- affair: NO (noun, basic meaning is the same)"
I'm crazy about her.,['crazy'],"- I'm: NO (contraction of ""I am"", basic meaning is the same)
- crazy: YES (adjective, more basic meaning refers to being mentally ill)
- about: NO (preposition, basic meaning is the same)
- her: NO (pronoun, basic meaning is the same)"
